🙁‍🔴‍🔴‍🔴	acne
🤨‍❔‍❔‍❔	floating_question_marks
😊‍⭐️	floating_star
😳‍😳	flushed_inflated
😳‍👃‍🩸	flushed_nosebleed
🥵‍😳	flushed_sweating
😳	flushed
⬅️‍🙁	frown_left
🙁‍➡️	frown_right
☹️	frown
🙁	frown2
🙂‍🥽‍🌫	gas_mask
😱‍🟡	gasp
🤭	giggle
🙂‍🧠‍🪟	glass_head
😌‍👓‍👈	glasses_push
🙂‍👓	glasses
😬	grimace
😁	grin
😀	grinning
😄	grinning2
😇	halo
☺️‍🤬	happy_cussing
😁‍😬	happy_grimace
☺️‍😲	happy_surprised
🥲	happy_tear
🙂‍☺️	happy
🙂‍😊	happy2
🙂‍🙂	happy3
🤕	head_bandage
😶‍🌫️	head_in_clouds
🙂‍🎧	headphones
🙂‍❤️‍❤️	heart_eyes_smile
😍	heart_eyes
😀‍❤️‍❤️	heart_eyes2
🙄‍🤭	hehe
🥵	hot_face
🤗	hug
🤫	hush
🤔‍💡	idea
🥰	in_love
💨‍😮	inhale
🙁‍🟢	jealous
😂	joy
Kappa	kappa
⬅️‍😚	kiss_left
😚‍➡️	kiss_right
😙	kiss_smile
😙‍😉	kiss_wink
😚	kiss
😗	kiss2
😆	laughing
🌝	lenny
☺️‍❤️	love_face
👉‍😆	lul
🤥	lying
😕	meh
🙂‍♨️‍☀️	melting_face
🙂‍💲‍💲	money_eyes
🤑	money_tongue
🧐	monocle
🌚	moon_face
😶	mouthless
🙂‍〰️	mustache
🤢	nausea
🤢‍🟡	nausea2
🤓	nerd
😐	neutral
🙂‍2️⃣‍0️⃣‍2️⃣‍0️⃣	new_year_glasses
🥷	ninja
🙂‍↕️	nodding_yes
🙂‍👃	nose_face
🙁‍👃‍🩸	nosebleed
🙂‍🆗	ok_face
🫢	oops
😲‍🤭	oops2
😮‍🧀‍🧀‍🧀	pacman
☺️‍🥳	party_hat_face
🥳‍💨	party_horn_face
🥳	party
🫣	peeking
😔‍🤠	pensive_cowboy
😔‍😳	pensive_flushed
😔‍🎧	pensive_headphones
😔	pensive
🥳‍⛵️	pirate_hat
🙂‍⛵️	pirate
🤕‍⛵️	pirate2
🥺	pleading
😮‍➡️	pogchamp
⬅️‍😮	poggers
🤑‍£️‍£️	pound_tongue
🥺‍🥺	powercry
😕‍❔‍❔	question_mark_eyes
🤨‍❔	question_mark_face
😡‍♨️	rage_steaming
😡	rage
😎‍🌈	rainbow_sunglasses
😐‍😑	really
☺️	relaxed
😌	relieved
🤣	rofl
🙂‍🙄	rolling_eyes_smile
🙄‍⬆️	rolling_eyes_up
🙄	rolling_eyes
🙁‍👃‍💧	running_nose
😔‍🙉	sad_covering_ears
😔‍😷	sad_face_mask
😔‍🤗	sad_hug
😢‍😡	sad_rage
😥	sad_relieved
😥‍😨	sad_relieved2
😓	sad_sweat
😞‍😞	sad
🙂‍🧑‍🎄	santa_hat
🥳‍🧑‍🎄	santa_party
🎅	santa
😱	scream
😐‍😎	serious_sunglasses
🙁‍↔️	shaking_no
😯	shocked
😮	shocked2
🤒	sick
😜	silly
😶‍⬛️	ski_mask
:/	slash_mouth
😞‍😩	sleep_deprived
😴‍👻	sleeping_ghost
😴	sleeping
😐‍😴	sleepy_eyes
😪	sleepy
😕‍😕	slight_meh
😯‍💨	slight_whistle
😀‍▪️‍▪️	small_pupils
🙂‍⬇️	smile_down
⬅️‍🙂	smile_left
🙂‍➡️	smile_right
🙂‍⬆️	smile_up
🙂	smile
😃	smiley
😏	smirk
😮‍🚬‍🟤	smoking_cigar
😮‍🚬‍🪵	smoking_pipe
😮‍🚬	smoking
-v-	smug
⛄️	snowman
🤡‍😭	sob_clown
😧‍😭	sob_despair
🥳‍😭	sob_party
😎‍😭	sob_sunglasses
😭	sob
🥺‍😭	sob2
😣	squint_frown
😣‍😬	squint_grimace
>3<	squint_kiss
😣‍😮	squint_open_mouth
>u<	squint_smile
😝	squint_tongue
😣‍😦	squint
🤩	star_eyes
🧔‍🪒	stubble
😎	sunglasses
😯	surprised
>.>	suspicious
<.<	suspicious2
😅	sweat_smile
🥵‍🟡	sweating
🙂‍💬	talking
💡‍🙃‍💡‍💡	tangled_lights
☺️‍🥺	tears_of_joy
😄‍🥺	tears_of_joy2
😨‍😨‍😨	terrified
🤔	thinking
🤔‍🤔	thonk
😐‍😐	tiny_neutral
☺️‍🙂	tiny_smile_blush
😫	tired
😛	tongue_out
😤	triumph
😒	unamused
😖‍🌊	underwater_head
🙁‍🙃	upside_down_frown
😐‍🙃	upside_down_neutral
🙃	upside_down
UwU	uwu
🤮	vomiting
🤮‍🟡	vomiting2
⬅️‍😀‍➡️	wall_eyed
😩	weary
😯‍🎶	whistling
😀‍⚪️‍⚪️	white_eyes
🟡‍🙂‍🟡	wide
😢‍😉	wink_cry
🙁‍😉	wink_frown
😉	wink
🥴	woozy
😟	worried
😟‍😨	worried2
🎁	wrapped
xD	xd
[Xök]	xok
🥱	yawn
🤑‍¥️‍¥️	yen_tongue
😋	yum
🤪	zany
🤐	zipper_mouth
•A•	a_mouth
😅‍😨	anxious
😑‍💢‍🧱	bang_head
☻	black_smiling_face
:c	c_mouth
🤑‍🪙‍🪙	coin_eyes
D:	colon_d
🤪‍😛	cross_eyed_tongue
:D	d_colon
😵‍😶	dead_mouthless
😵‍🙂	dead_smile
😵‍👅	dead_tongue
😞‍😞	disappointed2
🫥	dotted_face
🫥‍🙂	dotted_smile
🌎‍🙂	earth_face
🌎	earth
☺️‍😋	eating
👁‍👄‍👁	eye_lips_eye
⬅️‍😳	flushed_left
:(	frown_emoticon
🔥‍🌎‍😵‍🔥	global_warming_face
🔥‍🌎‍🔥	global_warming
🌺‍☺️‍🌸	happy_flowers
😳‍☺️	happy_flushed
😣‍🧡	heart_squeeze
:I	i_mouth
:L	l_mouth
☺️‍👅	licking_lips
😘‍💋	lips_kiss
🙂‍👄	lips
⬅️‍😮‍😮‍➡️	mitosis
🌑	moon
T-T	neutral_sob
OwO	owo
😵‍⚪️	petrified
🐷	pig
😍‍🌈	rainbow_heart_eyes
[?]	replacement
🤖	robot
:S	s_mouth
😓‍😨	sad_lines
㋛	si
😴‍😴	sleeping_mask
😤‍🌺	smelling_flower
:)	smile_emoticon
😣‍😭	sorrow
😍‍🤤	drool_heart_eyes
😲‍😲‍😲‍😲‍😲	scowl
☺️‍🔴‍🔴	high
🙁‍🔴‍🔴	pink_eyes
🍁‍🚬‍😌	weed
😳‍🔨	bonk
🟡‍👁	cyclops
🧛🏻	vampire
🧛	vampire_yellow
🎃‍🎃	pumpkin
😄‍🌈	rainbow_face
🎃	jack_o_lantern
😕‍😎‍😎	visor_glasses
🙂‍👾	8bit
👽	alien
👽‍🟡	alien2
🙂‍🚲‍⛑	bike_helmet
👨🏻	man_black_hair
❄️‍❄️‍❄️‍😕‍❄️‍❄️‍❄️	snowy_head
👁‍🗨‍👁‍🗨	hiding
🫅	crown
🙂‍🔒	https
🤣‍😆	rofl2
🙂‍🐱	cat_ears
🙉‍😣	squint_covering_ears
🙂‍🌈‍✌️	hippie
🙂‍✌️	peace
👶	baby
〰️‍😨‍〰️	stricken
🙂‍🤨	suggestive
😶‍❌	taped_mouth
㋡	tu
😰‍😱‍😱	ultrashock
:V	v_mouth
•~•	wavy_mouth
:X	x_mouth
:Z	z_mouth
🙂‍🤪	zany_smile
😮‍🤤	amazed
⚫️‍🙂	black
👨‍💼	blue_bowtie
🔵‍🙂	blue
💣	bomb
👨‍💼	bowtie
🟤‍🙂	brown
😾	cat_angry
😿	cat_cry
😺‍😳	cat_flushed
😸	cat_grin
😻	cat_heart_eyes
😹	cat_joy
😽	cat_kiss
🙀	cat_scream
😺	cat_smile
😼	cat_smirk
🧑‍🍳	chef_hat
🧑‍🍳	chef
🔵‍🙂	cyan
⚪️‍🙂	gray
🟢‍🙂	green
😈💻	hacker
🙉	hear_no_evil
🃏	jester
🤨‍💻	laptop_confused
😡‍💻	laptop_rage
🧑‍💻	laptop
🟢‍🙂	lime
🐵‍😳	monkey_flushed
🐵	monkey
🟠‍🙂	orange
🙂‍🎀	pink_bow
🟣‍🙂	purple
🔴‍🙂	red
o7	salute
🙈	see_no_evil
💀	skull
😣‍💢‍👋	slapped
🙊	speak_no_evil
🙂🏻	tone1
🙂🏼	tone2
🙂🏽	tone3
🙂🏾	tone4
🙂🏿	tone5
⚪️‍🙂	white
🙂‍🟥‍➖‍🟦	3d_glasses
👽‍🖖	alien_hand
😡‍😢	angry_cry
💪‍🤧	arm_sneeze
😁‍✨	braces
😭‍💔	broken_heart_face
💔	broken_heart
👏	clap
\\o>	dab
👇	down
🥚‍🙂	egg_face
🥚	egg
)	eyeless
🤦	facepalm
🥴‍♂️	fboy
👈‍👈‍😏	finger_guns_l
😏‍👉‍👉	finger_guns_r
👉‍👈	finger_touch
🤞	fingers_crossed
👉‍😑‍👈	fingers_in_ears
🤛‍🙂	fistbump_l
🙂‍🤜	fistbump_r
💪	flex
⭐️‍⭐️‍☺️‍⭐️‍⭐️	floating_stars
😋‍🍴	fork_knife_2
🙂🍴	fork_knife
😐‍🤝	hands_folded
😐‍🤝	hands_interlocked
🙂‍🫱	handshake_l
🫲‍🙂	handshake_r
🙌	happy_hands
😍‍🤤	heart_eyes_drool
❤️‍🙂	heart_face
🙂‍🫱‍❤️	heart_handshake_l
❤️‍🫲‍🙂	heart_handshake_r
☺️‍💭‍❤️	heart_thought_bubble
❤️	heart
🤟	ily
🤌	italian_hand
😂‍👁‍👁	joy_eyes
😆‍L️	l_hand
↙️	left_down
👈‍👉	left_right
↖️	left_up
👈	left
👉‍😁‍👈	lets_go
🦾	mechanical_arm
🖕	middle_finger
🤥‍🤛	nose_punch
👌	okay_hand
😶‍📱	phone
🤏	pinch
😠‍1️⃣	ping
😡‍9️⃣‍9️⃣	pings
🟣‍🙂	pink
🥺‍🤲	pleading_hands
➕‍➖‍➕	plus_eyes
😇‍🙏	pray_halo
🙏	pray
🤛‍😠	punch_l
😠‍🤜	punch_r
👊‍😠	punch
R74n	R74n
✊	raise_fist
🖐	raise_hand
🙌	raise_the_roof
😝‍💦	raspberry_blow
↘️	right_down
↗️	right_up
➡️	right
🤘‍😔	rock_on_emo
🤘	rock_on
👋‍😞	sad_wave
🥩‍🔴	salami
🤳	selfie
🤙	shaka
👏‍😲	shocked_clap
😉‍🌡	sick_wink
😙‍💦	spit
🦸‍♂️	superhero
🦸‍♀️	superheroine
🦸	superperson
🦹	supervillain
>.>👉‍👈	suspicious_fingers
☺️🙏	thanks
🤔‍💭	thought_bubble
👎	thumbs_down
👍	thumbs_up
👆‍👇	up_down
👆	up
[VR]	vr_headset
⌚️	watch
👋	wave
✍️	writing
🧟	zombie
🧟‍🟡	zombie2
🤓‍☝️	actually
😵‍🪓	axe_in_head
🪓‍🙂	axe
😍‍🖤	black_heart_eyes
😀‍👁‍👁‍🖐	bloodshot_grab
😍‍💙	blue_heart_eyes
🤙	call_me
📸	camera_flash
📷	camera
^_^	caret_eyes
🙂‍🥂	cheers_l
🥂‍🙂	cheers_r
😮‍🍺	chug
🙂‍🔴	clown_nose
🍪‍➖	cookie_bit
🍪‍🙂	cookie_face
🍪	cookie
🔶‍🙂	diamond_face
😐‍✌️	eye_point
😔‍👈	finger_gun_to_head
😆‍✊	fist_pump
✋‍5️	five_fingers
😏‍🔥‍🔥‍🔥	floating_flames
☺️‍❤️‍🌈	floating_rainbow_heart
✋‍4️	four_fingers
🧟‍🔩	frankenstein
👻	ghost
🥵‍👋	hand_fanning
👋‍☺️‍👋	hand_flap
✋‍😧‍✋	hands_up
✋‍🙂‍✋	hands
#️‍➖‍#️	hashtag_eyes
❌	no
🧑‍⚕️	nurse
👴	old_man
🧓	old_person
👵	old_woman
☝️	one_finger
🟨‍🙂	square_face
😐‍✋	talk_to_the_hand
👍👍	thumbs_ups
¯\\_(ツ)_/¯	tu_shrug
💉	vaccine
🧙	witch_hat
🧙‍♀️	witch
🧙‍♂️	wizard
🙅	x_arms
✅	yes
🧑‍🧑‍🧒‍🧒‍🧒	adult_adult_child_child_child
🧑‍🧑‍🧒‍🧒	adult_adult_child_child
🧑‍🧑‍🧒	adult_adult_child
🧑‍👶	adult_baby
🧑‍🧒‍🧒‍🧒	adult_child_child_child
🧑‍🧒‍🧒	adult_child_child
🧑‍🧒	adult_child
⏰	alarm_clock
🍼	baby_bottle
🎂	birthday_cake
🥊‍😠	boxing
🍔	burger
🐱‍🤦	cat_facepalm
🐱‍😐	cat_neutral
🐱‍🤮	cat_puke
💏	couple_kissing
💑	couple_with_heart
🕺	dancing
💪‍😤‍💪	double_flex
🧝	elf
🧚	fairy
🧑‍🍼	feeding_baby
💸	flying_money
👻‍🟦	ghost_blue
👻‍🟧	ghost_orange
👻💖	ghost_pink
👻‍🟥	ghost_red
👻‍🟨	ghost_yellow
🥽	goggles
🎩‍🟩	green_top_hat
🔫	gun
😨‍🔫	gunpoint
👨	hair_short
💇	haircut
😍‍🥵	heart_eyes_sweating
💁	info_desk
🛌	laying_down
🎩‍☘️	leprechaun_hat
🧝‍☘️	leprechaun
💆	massage
🪞	mirror
👶	one_baby
🧒	one_child
🧍	one_person
💅	painting_nails
〠	postal_mark_face
😁‍💵‍💵‍💵	raining_money
🌧	raining
😴‍📖	reading_sleeping
📖	reading
✂️	scissors
🙂‍🚿	shower_cap
🙊‍👃	smell_no_evil
👶‍😭	sob_baby
🔫‍💦	squirt_gun
😠‍✋	stop_hand
😔‍🔫	suicide
🙂‍📞	telephone_calling
🧒‍🧒‍🧒	three_children
🧐‍🎩	top_hat_monocle
🎩	top_hat
🙂‍🔱	trident
👶‍👶‍👶	triplets
👶‍👶	twins
🧒‍🧒	two_children
🧑‍🧑	two_people
🪄	wand
🙅	x_hands
👁️‍👁️‍👁️‍👁️	all_seeing
👿‍🟨	angry_horns
🧑‍🎨	artist
👁️‍👼‍👁️	be_not_afraid
😌‍😔	bipolar
😳‍🩸	bloodshot_flushed
🙂‍🐰	bunny_ears
🧮	calculator
😉‍👉‍👈	camera_hands
🐱‍👅	cat_blep
🐱‍🕶️	cat_sunglasses
☕️	coffee
🐷‍👮	cop_pig
👮	cop
🙁‍❌	crossed_out
🙂‍🤖	cyborg
🕵️	detective
🟡‍👀	emoji_eyes
😈‍🟨	evil_horns
🧑‍🏭	factory_worker
🧑‍🌾	farmer
😭‍🙂	feels
😠‍🤜‍✋	fight_hands
🧑‍🚒	firefighter
👧	hair_long_2
👱‍♀️	hair_long_3
👩‍🦱	hair_long_curly
👩	hair_long
🧒	hair_medium_2
🧑‍🦱	hair_medium_curly
🧑	hair_medium
👦	hair_short_2
👨‍🦱	hair_short_curly
✋‍👁️	hand_eye
😘‍🫴	hand_kiss
😣‍💢	headache
🔴‍👁️‍🗨️‍👁️‍🗨️	lflgldfglfd
🙂‍🧿‍🧿	nazar_eyes
👃‍👆	nose_pick
📄	paper
😎‍👍	picardia
🧑‍✈️	pilot
🍿	popcorn
🥺‍🎀	powercry_bow
🥺‍🥺	powercry_shy
🧑‍🎤	rockstar
💂	royal_guard
💀‍🔵	sans
🧑‍🔬	scientist
🙂	simple_smile
☠️	skull_crossbones
🤧‍💦	sneeze
🥶‍❄️	snowing
🕷️	spider
⭕️‍⬛️	stickman_head
🧑‍🏫	teacher
🙂‍👁️	three_eyes
☔️	umbrella_raining
☂️	umbrella
🔧	wrench
x3	x3
🧑‍✈️‍🧑‍✈️	air_force_commander
😠‍😡	angry_facebook
🧑‍🚀	astronaut
🧔	beard
🧢	blue_cap
🧑‍✈️	captain
🥛‍🍫	choccy_milk
🎬	clapper
👷	construction_worker
😢‍🩸	crying_blood
😴‍🥒	cucumber_mask
🤺	fencer
👳‍♀️‍🔮	fortune_teller
🧞	genie
🧑‍🎓	graduate
👲	gua_pi_mao
😎‍🖤‍🖤	heart_sunglasses
🧕	hijab
🐷‍😲	hogchamp
🧑‍⚖️	judge
🤹	juggler
🧙‍🪄	magician
🧑‍🔧	mechanic
🧟‍🧻	mummy
🧙‍💀	necromancer
🧢‍🟧	orange_cap
🙂‍🇵🇱	polandball
🧢‍🟥	red_cap
⛑️	rescue_worker
🙂‍⛵️	sailor
🏂	snowboarder
😭‍🩸	sobbing_blood
🙂‍🪖	soldier
🙂‍🌱	sprout
~_~	tilde_eyes
⚫️‍👁️‍👁️‍🔥	toasted
😎‍🎩	top_hat_sunglasses
👳	turban
👰	veil
🙂‍👒	womans_hat
🙂‍🕊️	wings
😇‍🕊️	angel
😇‍🕊️‍🥺	angelthump
🔪	knife
🔪‍😵	stabbed
🙂‍🇻🇦	pope
👈‍😆	pointing_laughing
😛‍🟦	blue_tongue
🧘	meditating
👰‍🤵	bride_groom
🤵‍🤵	groom_groom
👰‍👰	bride_bride
👼	angel_baby
🐶	dog
🐶‍😉	dog_wink
🐶‍😲	dog_shocked
🐶‍😍	dog_love
🐶‍😠	dog_angry
🐶‍😞	dog_sad
🐶‍😳	dog_flushed
🐸	frog
⛷️	ski_helmet
🙂‍🏈	football_helmet
🙂‍🇺🇸	america_face_paint
😉‍🏹	archer
🙂‍⚾️	baseball
⛹️	basketball
🙂‍⚽️	soccer
🙂‍🏐	volleyball
🐱‍💻	cat_hacker
🐱‍🚀	cat_astronaut
🐱‍👓	cat_hipster
⚉	two_white_dots_face
⚇	two_black_dots_face
⚇‍🟨	two_dots_face
😐‍👅	neutral_tongue
😁‍🌈	rainbow
🤔‍🤔‍🤔‍🤔	thinkception
😄‍💯‍💯	100_eyes
😭‍😌	sob_relieved
😭‍🙂	sob_smile
😭‍😈	sob_evil
😭‍😎	sob_cool
😭‍🤮	sob_vomiting
ඞ	crewmate
🤫‍ඞ	imposter_hush
🐙	octopus
🐙‍🧐‍🎩	octopus_gentleman
:tf:	troll_face
😩‍💻	laptop_weary
😮‍👈	point_self
🧑‍⚕️	surgeon
☀️	sun
🌞	sun_face
🌕	lit_moon
🌝	lit_moon_face
🌘	waning_crescent_moon
🌒	waxing_crescent_moon
🌜	waning_crescent_moon_face
🌛	waxing_crescent_moon_face
🤯‍😠	exploding_head_angry
🧀	cheese
💩	poo_face
🐺	wolf
👸	princess
🤴	prince
